geonum,jobs_2010,jobs_2020,unemp20,unemp19,Ave1920
108001,196437,272517,8,2.8,5.4
108003,9627,10003,6.4,3.4,4.9
108005,334363,393318,7.9,2.6,5.25
108007,5588,6664,7.6,3,5.3
108009,2079,2138,2.3,1.6,1.95
108011,1895,1589,4.4,2.7,3.55
108013,199126,233366,6.2,2.3,4.25
108014,35745,46406,6.6,2.4,4.5
108015,9001,10876,6.3,2.3,4.3
108017,1224,1267,2.4,1.6,2
108019,4302,3890,8.5,2.4,5.45
108021,2369,2679,5.6,3.5,4.55
108023,1098,1328,7.2,3.8,5.5
108025,1507,1539,5.4,4.1,4.75
108027,1604,1770,5,2.9,3.95
108029,12278,12764,6.6,3.2,4.9
108031,483470,592472,8.2,2.6,5.4
108033,701,907,6.9,2.9,4.9
108035,122982,169855,5.8,2.3,4.05
108037,35607,39482,9.5,2.2,5.85
108039,6423,7961,4.7,2.1,3.4
108041,325680,367614,7.3,3.2,5.25
108043,16994,17653,7.7,4.4,6.05
108045,31160,32618,6.8,2.6,4.7
108047,6143,4169,11.3,2.2,6.75
108049,8795,9247,8.4,2.1,5.25
108051,10594,11693,6.6,2.1,4.35
108053,426,418,4.2,3.4,3.8
108055,2701,2588,9.4,5.5,7.45
108057,821,798,4.3,2.2,3.25
108059,267412,303175,7.1,2.4,4.75
108061,941,1050,2.3,1.5,1.9
108063,4298,4208,2.8,1.6,2.2
108065,2513,3030,8.2,2.3,5.25
108067,31453,32935,6.8,2.4,4.6
108069,165022,204007,6.3,2.3,4.3
108071,7187,6742,7.4,3.8,5.6
108073,2886,3150,4.5,2.2,3.35
108075,10623,10387,4.7,2.3,3.5
108077,73273,77152,7.5,3.3,5.4
108079,584,675,5.8,2.3,4.05
108081,6625,6039,6,3.3,4.65
108083,12051,12396,7.1,4.1,5.6
108085,19110,20344,6.6,3,4.8
108087,14087,15096,5.4,2.5,3.95
108089,8279,7906,6.2,3.9,5.05
108091,2448,2913,8.1,2.8,5.45
108093,4302,4864,5.7,2.4,4.05
108095,2206,2445,2.7,1.5,2.1
108097,19304,19731,10.5,3,6.75
108099,6082,5840,4.4,2.5,3.45
108101,68293,74593,8.2,3.9,6.05
108103,4077,3757,5.4,3.5,4.45
108105,5824,5588,7.1,4,5.55
108107,17537,19451,7.9,2.1,5
108109,2584,2607,7,3.9,5.45
108111,338,413,6.7,2.9,4.8
108113,6347,7023,10.9,2.7,6.8
108115,1210,1201,3.4,1.9,2.65
108117,22174,24773,9.8,1.7,5.75
108119,9653,9979,7.5,3,5.25
108121,2093,2566,3.1,1.9,2.5
108123,104140,138527,7,2.5,4.75
108125,5640,6021,2.8,1.5,2.15
