geoname,state,county,place,tract,bg,geonum,b19013001,b19013_moe001
"Block Group 1, Census Tract 94.06, Adams County, Colorado",8,1,,9406,1,1080010094061,81083,10447
"Block Group 2, Census Tract 94.06, Adams County, Colorado",8,1,,9406,2,1080010094062,73622,5827
"Block Group 1, Census Tract 96.08, Adams County, Colorado",8,1,,9608,1,1080010096081,63955,15789
"Block Group 1, Census Tract 84.02, Adams County, Colorado",8,1,,8402,1,1080010084021,90194,7455
"Block Group 1, Census Tract 87.05, Adams County, Colorado",8,1,,8705,1,1080010087051,62875,12909
"Block Group 2, Census Tract 87.05, Adams County, Colorado",8,1,,8705,2,1080010087052,53750,20846
"Block Group 4, Census Tract 85.06, Adams County, Colorado",8,1,,8506,4,1080010085064,26542,15130
"Block Group 1, Census Tract 9887, Adams County, Colorado",8,1,,988700,1,1080019887001,,
"Block Group 2, Census Tract 87.09, Adams County, Colorado",8,1,,8709,2,1080010087092,23480,12856
"Block Group 4, Census Tract 87.09, Adams County, Colorado",8,1,,8709,4,1080010087094,40923,2151
"Block Group 3, Census Tract 87.09, Adams County, Colorado",8,1,,8709,3,1080010087093,39052,37494
"Block Group 1, Census Tract 97.51, Adams County, Colorado",8,1,,9751,1,1080010097511,59551,11089
"Block Group 2, Census Tract 97.51, Adams County, Colorado",8,1,,9751,2,1080010097512,38893,18868
"Block Group 2, Census Tract 93.26, Adams County, Colorado",8,1,,9326,2,1080010093262,103289,39643
"Block Group 1, Census Tract 93.26, Adams County, Colorado",8,1,,9326,1,1080010093261,78099,5110
"Block Group 1, Census Tract 85.46, Adams County, Colorado",8,1,,8546,1,1080010085461,78125,12978
"Block Group 2, Census Tract 85.42, Adams County, Colorado",8,1,,8542,2,1080010085422,95139,17207
"Block Group 1, Census Tract 85.36, Adams County, Colorado",8,1,,8536,1,1080010085361,119333,12609
"Block Group 1, Census Tract 82, Adams County, Colorado",8,1,,8200,1,1080010082001,70854,12451
"Block Group 3, Census Tract 82, Adams County, Colorado",8,1,,8200,3,1080010082003,58490,38152
"Block Group 2, Census Tract 82, Adams County, Colorado",8,1,,8200,2,1080010082002,72766,8189
"Block Group 5, Census Tract 85.07, Adams County, Colorado",8,1,,8507,5,1080010085075,67813,32945
"Block Group 4, Census Tract 85.07, Adams County, Colorado",8,1,,8507,4,1080010085074,90982,42132
"Block Group 3, Census Tract 85.07, Adams County, Colorado",8,1,,8507,3,1080010085073,43542,35253
"Block Group 2, Census Tract 85.07, Adams County, Colorado",8,1,,8507,2,1080010085072,92500,58212
"Block Group 1, Census Tract 83.09, Adams County, Colorado",8,1,,8309,1,1080010083091,76029,44489
"Block Group 2, Census Tract 83.09, Adams County, Colorado",8,1,,8309,2,1080010083092,56786,16291
"Block Group 1, Census Tract 83.53, Adams County, Colorado",8,1,,8353,1,1080010083531,,
"Block Group 2, Census Tract 85.06, Adams County, Colorado",8,1,,8506,2,1080010085062,68026,36203
"Block Group 1, Census Tract 85.06, Adams County, Colorado",8,1,,8506,1,1080010085061,40710,18348
"Block Group 2, Census Tract 85.33, Adams County, Colorado",8,1,,8533,2,1080010085332,70423,7148
"Block Group 4, Census Tract 83.53, Adams County, Colorado",8,1,,8353,4,1080010083534,61488,10670
"Block Group 4, Census Tract 85.23, Adams County, Colorado",8,1,,8523,4,1080010085234,,
"Block Group 2, Census Tract 94.11, Adams County, Colorado",8,1,,9411,2,1080010094112,72344,12304
"Block Group 3, Census Tract 85.34, Adams County, Colorado",8,1,,8534,3,1080010085343,115375,45083
"Block Group 3, Census Tract 87.05, Adams County, Colorado",8,1,,8705,3,1080010087053,43882,29391
"Block Group 1, Census Tract 90.01, Adams County, Colorado",8,1,,9001,1,1080010090011,62159,13982
"Block Group 2, Census Tract 90.01, Adams County, Colorado",8,1,,9001,2,1080010090012,38674,5820
"Block Group 2, Census Tract 93.07, Adams County, Colorado",8,1,,9307,2,1080010093072,68219,11386
"Block Group 1, Census Tract 93.07, Adams County, Colorado",8,1,,9307,1,1080010093071,64150,21143
"Block Group 2, Census Tract 95.53, Adams County, Colorado",8,1,,9553,2,1080010095532,68583,20057
"Block Group 3, Census Tract 96.03, Adams County, Colorado",8,1,,9603,3,1080010096033,62153,20858
"Block Group 4, Census Tract 96.03, Adams County, Colorado",8,1,,9603,4,1080010096034,40551,2462
"Block Group 1, Census Tract 96.03, Adams County, Colorado",8,1,,9603,1,1080010096031,54639,13277
"Block Group 2, Census Tract 91.01, Adams County, Colorado",8,1,,9101,2,1080010091012,55625,2328
"Block Group 1, Census Tract 93.20, Adams County, Colorado",8,1,,9320,1,1080010093201,34333,12092
"Block Group 2, Census Tract 93.20, Adams County, Colorado",8,1,,9320,2,1080010093202,48721,11856
"Block Group 1, Census Tract 92.07, Adams County, Colorado",8,1,,9207,1,1080010092071,62448,7254
"Block Group 2, Census Tract 78.01, Adams County, Colorado",8,1,,7801,2,1080010078012,38347,9090
"Block Group 1, Census Tract 85.48, Adams County, Colorado",8,1,,8548,1,1080010085481,93958,34088
