geoname,state,county,place,tract,bg,geonum,b19013001,b19013_moe001
"Phillips County, Colorado",8,95,,,,108095,51155,3191
"Archuleta County, Colorado",8,7,,,,108007,52221,3699
"Denver County, Colorado",8,31,,,,108031,68592,1281
"Kiowa County, Colorado",8,61,,,,108061,41731,5035
"Huerfano County, Colorado",8,55,,,,108055,38137,4005
"Baca County, Colorado",8,9,,,,108009,35878,4195
"Gilpin County, Colorado",8,47,,,,108047,76429,11197
"Kit Carson County, Colorado",8,63,,,,108063,49349,4034
"Gunnison County, Colorado",8,51,,,,108051,56577,5212
"Mineral County, Colorado",8,79,,,,108079,62188,10378
"Ouray County, Colorado",8,91,,,,108091,66417,9235
"Sedgwick County, Colorado",8,115,,,,108115,43150,5088
"Weld County, Colorado",8,123,,,,108123,74150,1069
"Custer County, Colorado",8,27,,,,108027,53119,7591
"Costilla County, Colorado",8,23,,,,108023,30965,4205
"Douglas County, Colorado",8,35,,,,108035,119730,1710
"Lake County, Colorado",8,65,,,,108065,50565,5331
"La Plata County, Colorado",8,67,,,,108067,68685,3081
"Pitkin County, Colorado",8,97,,,,108097,78935,8840
"Rio Grande County, Colorado",8,105,,,,108105,39123,2724
"Bent County, Colorado",8,11,,,,108011,30900,2629
"Crowley County, Colorado",8,25,,,,108025,42135,6436
"San Juan County, Colorado",8,111,,,,108111,54625,8498
"Larimer County, Colorado",8,69,,,,108069,71881,1640
"Logan County, Colorado",8,75,,,,108075,53318,3595
"San Miguel County, Colorado",8,113,,,,108113,67038,6786
"Teller County, Colorado",8,119,,,,108119,66592,3958
"Elbert County, Colorado",8,39,,,,108039,99199,6613
"Las Animas County, Colorado",8,71,,,,108071,41817,3068
"Lincoln County, Colorado",8,73,,,,108073,47258,5573
"Summit County, Colorado",8,117,,,,108117,79277,3671
"Alamosa County, Colorado",8,3,,,,108003,37515,3772
"Delta County, Colorado",8,29,,,,108029,45269,3334
"Fremont County, Colorado",8,43,,,,108043,49409,1820
"Montrose County, Colorado",8,85,,,,108085,50489,2510
"Morgan County, Colorado",8,87,,,,108087,53682,2609
"Saguache County, Colorado",8,109,,,,108109,38571,4811
"Prowers County, Colorado",8,99,,,,108099,41929,2484
"Washington County, Colorado",8,121,,,,108121,50094,3511
"Grand County, Colorado",8,49,,,,108049,71198,4313
"Otero County, Colorado",8,89,,,,108089,38169,2833
"Broomfield County, Colorado",8,14,,,,108014,96416,2241
"Hinsdale County, Colorado",8,53,,,,108053,56339,6265
"Dolores County, Colorado",8,33,,,,108033,45972,8828
"Jackson County, Colorado",8,57,,,,108057,53300,7988
"Montezuma County, Colorado",8,83,,,,108083,49470,3430
"Boulder County, Colorado",8,13,,,,108013,83019,1785
"Yuma County, Colorado",8,125,,,,108125,52022,3630
"Routt County, Colorado",8,107,,,,108107,77443,3722
"Clear Creek County, Colorado",8,19,,,,108019,67060,10195
"Pueblo County, Colorado",8,101,,,,108101,46783,1461
"Park County, Colorado",8,93,,,,108093,73622,5905
"Mesa County, Colorado",8,77,,,,108077,55379,1902
"El Paso County, Colorado",8,41,,,,108041,68779,941
"Arapahoe County, Colorado",8,5,,,,108005,77469,1006
"Chaffee County, Colorado",8,15,,,,108015,55771,2838
"Garfield County, Colorado",8,45,,,,108045,75937,3447
"Jefferson County, Colorado",8,59,,,,108059,82986,1188
"Rio Blanco County, Colorado",8,103,,,,108103,54357,6895
"Conejos County, Colorado",8,21,,,,108021,36084,2787
"Adams County, Colorado",8,1,,,,108001,71202,1176
"Eagle County, Colorado",8,37,,,,108037,84790,4430
"Moffat County, Colorado",8,81,,,,108081,57229,6703
"Cheyenne County, Colorado",8,17,,,,108017,53977,12544
