geoname,state,county,place,tract,bg,geonum,b19013001,b19013_moe001
"Stonewall Gap CDP, Colorado",8,,74275,,,10874275,50250,17194
"Sugarloaf CDP, Colorado",8,,74980,,,10874980,94781,61251
"Sunshine CDP, Colorado",8,,75585,,,10875585,179922,107781
"Tall Timber CDP, Colorado",8,,76325,,,10876325,120341,104546
"Towner CDP, Colorado",8,,78335,,,10878335,38750,19894
"Trail Side CDP, Colorado",8,,78345,,,10878345,88403,35842
"Twin Lakes CDP (Adams County), Colorado",8,,79100,,,10879100,69116,5350
"Twin Lakes CDP (Lake County), Colorado",8,,79105,,,10879105,63958,8632
"Upper Bear Creek CDP, Colorado",8,,79785,,,10879785,116536,43860
"Valdez CDP, Colorado",8,,80095,,,10880095,,
"Valmont CDP, Colorado",8,,80370,,,10880370,46250,25661
"Vernon CDP, Colorado",8,,80755,,,10880755,,
"Vineland CDP, Colorado",8,,81305,,,10881305,71842,21065
"Weldona CDP, Colorado",8,,83175,,,10883175,49583,21334
"Weston CDP, Colorado",8,,84000,,,10884000,,
"Wolcott CDP, Colorado",8,,85760,,,10885760,,
"Woody Creek CDP, Colorado",8,,86200,,,10886200,34844,30860
"Holly town, Colorado",8,,37215,,,10837215,40063,8592
"Boone town, Colorado",8,,7795,,,10807795,35179,9859
"Pueblo West CDP, Colorado",8,,62220,,,10862220,71553,3631
"Hayden town, Colorado",8,,35070,,,10835070,57054,13384
"Bonanza town, Colorado",8,,7571,,,10807571,,
"Silverton town, Colorado",8,,70580,,,10870580,53750,10782
"Silver Cliff town, Colorado",8,,70250,,,10870250,26818,8995
"St. Mary's CDP, Colorado",8,,67142,,,10867142,78143,13720
"Pritchett town, Colorado",8,,61315,,,10861315,32386,18338
"Derby CDP, Colorado",8,,20275,,,10820275,52554,10612
"Todd Creek CDP, Colorado",8,,77757,,,10877757,149722,15095
"Welby CDP, Colorado",8,,83120,,,10883120,56923,7499
"Parachute town, Colorado",8,,57400,,,10857400,52500,16106
"Silt town, Colorado",8,,70195,,,10870195,58779,8522
"Castle Rock town, Colorado",8,,12415,,,10812415,109700,4363
