geoname,state,county,place,tract,bg,geonum,b19013001,b19013_moe001
"Census Tract 9726, Costilla County, Colorado",8,23,,972600,,108023972600,42045,5599
"Census Tract 9727, Costilla County, Colorado",8,23,,972700,,108023972700,25000,3903
"Census Tract 19.01, Denver County, Colorado",8,31,,1901,,108031001901,31266,5442
"Census Tract 19.02, Denver County, Colorado",8,31,,1902,,108031001902,86875,35626
"Census Tract 41.06, Denver County, Colorado",8,31,,4106,,108031004106,150881,15213
"Census Tract 41.07, Denver County, Colorado",8,31,,4107,,108031004107,121466,11130
"Census Tract 45.04, Denver County, Colorado",8,31,,4504,,108031004504,52125,2941
"Census Tract 45.05, Denver County, Colorado",8,31,,4505,,108031004505,33750,7191
"Census Tract 45.06, Denver County, Colorado",8,31,,4506,,108031004506,32406,7918
"Census Tract 83.86, Denver County, Colorado",8,31,,8386,,108031008386,68000,17848
"Census Tract 83.87, Denver County, Colorado",8,31,,8387,,108031008387,76948,8955
"Census Tract 83.88, Denver County, Colorado",8,31,,8388,,108031008388,62060,7954
"Census Tract 83.89, Denver County, Colorado",8,31,,8389,,108031008389,84097,12180
"Census Tract 83.90, Denver County, Colorado",8,31,,8390,,108031008390,70452,10545
"Census Tract 45.11, El Paso County, Colorado",8,41,,4511,,108041004511,62607,7112
"Census Tract 46.01, El Paso County, Colorado",8,41,,4601,,108041004601,65899,8057
"Census Tract 46.02, El Paso County, Colorado",8,41,,4602,,108041004602,61311,4867
"Census Tract 46.03, El Paso County, Colorado",8,41,,4603,,108041004603,76488,9269
"Census Tract 47.05, El Paso County, Colorado",8,41,,4705,,108041004705,86797,9989
"Census Tract 47.06, El Paso County, Colorado",8,41,,4706,,108041004706,102543,6861
"Census Tract 51.05, El Paso County, Colorado",8,41,,5105,,108041005105,92795,5543
"Census Tract 51.06, El Paso County, Colorado",8,41,,5106,,108041005106,82023,11692
"Census Tract 51.07, El Paso County, Colorado",8,41,,5107,,108041005107,91833,11112
"Census Tract 51.08, El Paso County, Colorado",8,41,,5108,,108041005108,89467,10847
"Census Tract 51.09, El Paso County, Colorado",8,41,,5109,,108041005109,83258,5748
"Census Tract 51.10, El Paso County, Colorado",8,41,,5110,,108041005110,62581,5402
"Census Tract 51.11, El Paso County, Colorado",8,41,,5111,,108041005111,75020,6695
"Census Tract 63.01, El Paso County, Colorado",8,41,,6301,,108041006301,59194,8543
